station,borough,trainno,equipmentno,equipmenttype,serving,ADA,isactive,nonNYCT,shortdescription,linesservedbyelevator,elevatorsgtfsstopid,elevatormrn,stationcomplexid,nextadanorth,nextadasouth,redundant,busconnections,alternativeroute
Jackson Hts-Roosevelt Av,,E/F/M/R/7,EL421,EL,transfer mezzanine to Manhattan-bound E/F/M/R platform and mezzanine for access to Queens-bound E/F/M/R service,Y,Y,N,Manhattan-bound E/F/M/R to E/F/M/R/7 mezzanines,E/F/M/R,710/G14,267/454,616,"261, E, F, M, R","221, F / 267, M, R / 273, E",0,"Q32, Q33, Q47, Q49, Q53 SBS, Q70 SBS","If you are on the Manhattan-bound E/F/M/R platform: Take an EM or R to Queens Plaza then either: Use elevators to transfer to a Jamaica-bound E, F or a Forest Hills-bound M, R to Jackson Hts-Roosevelt Av. Or, exit station and take a Jackson Heightsbound Q32 bus (28 St and Queens Plaza S) to 75 St and Roosevelt Av. If you are on the E/F/M/R mezzanine: Take an E, F, M or R to Forest Hills-71 Av and use elevators to transfer to a Manhattan-bound E, F, M or R. If you are on the transfer mezzanine:  For E, F, M, R to Manhattan, take a Manhattanbound Q32 bus (Roosevelt Av and 74 St) to Queens Plaza. For E, F, M, R to Forest Hills/Jamaica, take Rockaway Park-bound Q53 SBS (Broadway and 75 St) to Woodhaven Blvd. Transfer to a Jamaica-bound Q60 bus."
Jamaica Center-Parsons/Archer,,E/J/Z,EL413,EL,mezzanine to platforms for E/J/Z service in both directions,Y,Y,N,Mezzanine to E & J/Z platforms,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114","Through June 28, 2025:

If you are on the mezzanine: Exit through the faregate and use the elevator to exit the station. Then take a Jamaica LIRR-bound Q30 or Q31 bus (Jamaica Av and Parsons Blvd) to Sutphin Blvd and Archer Av for E/J/Z service at the Sutphin Blvd/Archer Av-JFK Airport station. If you are on the E platform: Take a Manhattan-bound E to Sutphin Blvd/Archer Av-JFK Airport. Then use elevators to exit the station and take a Q24, Q30 or Q31 bus (Sutphin Blvd and Archer Av) to Archer Av and 158 St. If you are on the J/Z platform: Take a Manhattan-bound J or Z to Sutphin Blvd/Archer Av-JFK Airport. Then use elevators to exit the station and take a Q24, Q30 or Q31 bus (Sutphin Blvd and Archer Av) to Archer Av and 158 St.

Effective June 29, 2025:
If you are on the mezzanine:
Exit through the faregate and use the elevator to exit the station. Then take a College Point-bound Q20 bus (Archer Av and Parsons Blvd) to Sutphin Blvd and Archer Av for E/J/Z service at the Sutphin Blvd/Archer Av-JFK Airport station. 

If you are on the E platform: 
Take a Manhattan-bound E to Sutphin Blvd/Archer Av-JFK Airport. Then use elevators to exit the station and take a Jamaica-bound Q20 bus (Archer Av and Sutphin Blvd) to Archer Av and Parsons Blvd. 

If you are on the J/Z platform: 
Take a Manhattan-bound J or Z to Sutphin Blvd/Archer Av-JFK Airport. Then use elevators to exit the station and take a Jamaica-bound Q20 bus (Archer Av and Sutphin Blvd) to Archer Av and Parsons Blvd."
Jamaica Center-Parsons/Archer,,E/J/Z,EL412,EL,Archer Ave & Parsons Blvd (SW corner) to mezzanine for service in both directions on both lines,Y,Y,N,Street to mezzanine,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114","Through June 28, 2025: If you are on the street:  Take a Jamaica LIRR-bound Q30 or Q31 bus (Jamaica Av and Parsons Blvd) to Sutphin Blvd and Archer Av for E/J/Z service at the Sutphin Blvd/Archer Av-JFK Airport station. If you are on the mezzanine: See a station agent to re-enter through the faregate and use the elevator to take a Manhattan-bound E to Sutphin Blvd/Archer Av-JFK Airport. Then use elevators to exit the station and take a Q24, Q30 or Q31 bus (Sutphin Blvd and Archer Av) to Archer Av and 158 St.

Effective June 29, 2025:

If you are on the street:  
Take a College Point-bound Q20 bus (Archer Av and 160 St) to Sutphin Blvd and Archer Av for E/J/Z service at the Sutphin Blvd/Archer Av-JFK Airport station. 

If you are on the mezzanine: 
See a station agent to re-enter through the faregate and use the elevator to take a Manhattan-bound E to Sutphin Blvd/Archer Av-JFK Airport. Then use elevators to exit the station and take a Jamaica-bound Q20 bus (Archer Av and Sutphin Blvd) to Archer Av and Parsons Blvd.
"
Jamaica Center-Parsons/Archer,,E/J/Z,ES440,ES,mezzanine to Parsons Blvd & Archer Ave (SW corner),N,Y,N,Mezzanine to street,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114",
Jamaica Center-Parsons/Archer,,E/J/Z,ES441,ES,mezzanine (153 St & Archer Ave) to J/Z platform for Brooklyn-bound service,N,Y,N,Mezzanine to J/Z platform,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114",
Jamaica Center-Parsons/Archer,,E/J/Z,ES444,ES,mezzanine (153 St & Archer Ave) to E platform for Queens-bound service,N,Y,N,Mezzanine to E platform,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114",
Jamaica Center-Parsons/Archer,,E/J/Z,ES445,ES,J/Z platform to mezzanine for Parsons Blvd & Archer Ave exit,N,Y,N,J/Z platform to mezzanine,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114",
Jamaica Center-Parsons/Archer,,E/J/Z,ES442,ES,J/Z platform to mezzanine for 153 St & Archer Ave exit,N,Y,N,J/Z platform to mezzanine,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114",
Jamaica Center-Parsons/Archer,,E/J/Z,ES443,ES,E platform to mezzanine for 153 St & Archer Ave exit,N,Y,N,E platform to mezzanine,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114",
Jamaica Center-Parsons/Archer,,E/J/Z,ES446,ES,mezzanine (Parsons Blvd & Archer Ave) to J/Z platform for Brooklyn-bound service,N,Y,N,Mezzanine to J/Z platform,E/J/Z,G05,278,278,,,0,"Q4, Q5, Q6, Q8, Q9, Q20A, Q20B, Q24, Q25, Q30, Q31, Q34, Q41, Q42, Q44 SBS, Q65, Q83, Q84, Q85, Q110, Q111, Q112, Q113, Q114",
